,Current,Fc,Tc,Tr,Tj
153,12.0,0.5,32.41615518,35.63080912,30.48597911
154,12.0,0.5,32.13678759,35.28886319,31.60344947
155,12.0,0.5,32.33996402,35.78623909,31.50186125
156,12.0,0.5,32.13678759,35.91058306,31.42567009
157,12.0,0.5,32.26377286,35.81732508,31.57805241
158,12.0,0.5,32.11139054,35.81732508,31.42567009
159,12.0,0.5,32.49234634,36.190357,31.60344947
160,12.0,0.5,32.36536107,35.94166905,31.0955084
161,12.0,0.5,32.44155223,35.44429316,31.42567009
162,12.0,0.5,32.44155223,35.69298111,31.60344947
163,12.0,0.5,32.13678759,35.81732508,31.55265536
164,12.0,0.5,31.90821411,35.44429316,31.45106715
165,12.0,0.5,32.36536107,35.97275505,31.57805241
166,12.0,0.5,32.54314045,35.97275505,31.12090545
167,12.0,0.5,31.85742,35.69298111,31.57805241
168,12.0,0.5,31.85742,35.97275505,31.45106715
169,12.0,0.5,31.73043474,35.94166905,31.60344947
170,12.0,0.5,32.11139054,35.97275505,31.50186125
171,12.0,0.5,32.26377286,36.221443,31.70503768
172,12.0,0.5,32.08599348,35.84841107,31.57805241
173,12.0,0.5,32.21297875,35.91058306,31.60344947
174,12.0,0.5,32.13678759,36.03492703,31.60344947
175,12.0,0.5,32.44155223,35.91058306,31.78122884
176,12.0,0.5,32.41615518,35.78623909,31.57805241
177,12.0,0.5,32.23837581,35.84841107,31.60344947
178,12.0,0.5,32.33996402,36.06601303,31.70503768
179,12.0,0.5,32.41615518,36.34578697,31.57805241
180,12.0,0.5,32.36536107,36.12818501,31.55265536
181,12.0,0.5,32.23837581,35.56863713,31.8066259
182,12.0,0.5,31.98440527,35.44429316,31.90821411
183,12.0,0.5,31.65424357,36.09709902,31.50186125
184,12.0,0.5,31.88281706,35.69298111,31.45106715
185,12.0,0.5,31.73043474,36.09709902,31.57805241
186,12.0,0.5,32.11139054,36.190357,31.57805241
187,12.0,0.5,32.26377286,35.97275505,31.57805241
188,12.0,0.5,32.11139054,36.34578697,31.45106715
189,12.0,0.5,31.88281706,36.06601303,31.60344947
190,12.0,0.5,31.88281706,35.81732508,31.45106715
191,12.0,0.5,31.98440527,35.81732508,31.60344947
192,12.0,0.5,32.23837581,36.06601303,31.60344947
193,12.0,0.5,32.49234634,36.09709902,31.85742
194,12.0,0.5,32.33996402,36.12818501,31.57805241
195,12.0,0.5,32.13678759,36.09709902,31.57805241
196,12.0,0.5,32.26377286,35.91058306,31.60344947
197,12.0,0.5,32.31456697,35.41320716,31.67964063
198,12.0,0.5,32.41615518,35.94166905,31.57805241
199,12.0,0.5,32.13678759,35.84841107,31.60344947
200,12.0,0.5,32.44155223,36.09709902,31.4764642
201,12.0,0.5,32.11139054,35.91058306,31.70503768
202,12.0,0.5,32.23837581,36.06601303,31.57805241
203,12.0,0.5,31.88281706,35.69298111,31.57805241
204,12.0,0.5,32.08599348,36.28361498,31.60344947
205,12.0,0.5,31.85742,35.94166905,31.45106715
206,12.0,0.5,32.21297875,36.09709902,31.57805241
207,12.0,0.5,32.26377286,36.03492703,31.57805241
208,12.0,0.5,32.31456697,36.06601303,31.60344947
209,12.0,0.5,32.44155223,36.09709902,31.37487599
210,12.0,0.5,32.33996402,36.28361498,31.57805241
211,12.0,0.5,31.78122884,35.10234723,31.60344947
212,12.0,0.5,32.21297875,36.12818501,31.57805241
213,12.0,0.5,32.13678759,36.34578697,31.60344947
214,12.0,0.5,32.26377286,36.06601303,31.60344947
215,12.0,0.5,32.26377286,35.97275505,31.60344947
